job_id,worker_id,crew_id,assignment_type,status,scheduled_days,attended_days
J0001,W001,,individual,completed,4,1
J0001,W001,,individual,completed,5,4
J0002,W001,,individual,completed,3,3
J0002,W001,,individual,completed,5,5
J0002,W001,,individual,completed,3,3
J0003,W001,,individual,completed,4,4
J0002,W001,,individual,completed,5,5
J0004,W001,,individual,completed,2,2
J0001,W001,,individual,completed,3,3
J0001,W001,,individual,completed,3,3
J0003,W001,,individual,completed,3,3
J0003,W001,,individual,completed,2,2
J0005,W001,,individual,completed,4,4
J0006,W001,,individual,completed,4,4
J0006,W001,,individual,completed,4,4
J0006,W001,,individual,completed,4,4
J0007,W001,,individual,completed,3,3
J0004,W001,,individual,completed,4,4
J0008,W001,,individual,completed,5,5
J0003,W001,,individual,completed,5,5
J0007,W001,,individual,completed,4,4
J0005,W001,,individual,completed,5,5
J0006,W001,,individual,completed,4,4
J0002,W001,,individual,completed,3,3
J0008,W001,,individual,completed,3,3
J0007,W001,,individual,completed,4,4
J0009,W001,,individual,completed,3,3
J0002,W001,,individual,completed,4,4
J0008,W001,,individual,completed,3,3
J0009,W001,,individual,completed,2,2
J0004,W001,,individual,completed,2,2
J0004,W002,,individual,completed,4,1
J0005,W002,,individual,completed,4,3
J0008,W002,,individual,completed,3,3
J0010,W002,,individual,completed,4,4
J0011,W002,,individual,completed,2,2
J0005,W002,,individual,completed,5,5
J0011,W002,,individual,completed,5,5
J0010,W002,,individual,completed,4,4
J0005,W002,,individual,completed,4,4
J0010,W002,,individual,completed,5,5
J0010,W002,,individual,completed,4,4
J0011,W002,,individual,completed,2,2
J0005,W002,,individual,completed,4,4
J0004,W002,,individual,completed,3,3
J0010,W002,,individual,completed,5,5
J0005,W002,,individual,completed,3,3
J0011,W002,,individual,completed,5,5
J0004,W002,,individual,completed,5,5
J0004,W002,,individual,completed,5,5
J0011,W002,,individual,completed,5,5
J0011,W002,,individual,completed,3,3
J0010,W002,,individual,completed,2,2
J0012,W002,,individual,completed,3,3
J0012,W002,,individual,completed,4,4
J0013,W002,,individual,no_show,3,0
J0014,W003,,individual,completed,3,3
J0011,W003,,individual,completed,2,2
J0013,W003,,individual,completed,2,2
J0013,W003,,individual,completed,4,4
J0013,W003,,individual,completed,3,3
J0013,W003,,individual,completed,3,3
J0013,W003,,individual,completed,3,3
J0014,W003,,individual,completed,4,4
J0013,W003,,individual,completed,5,5
J0015,W003,,individual,completed,3,3
J0015,W003,,individual,completed,4,4
J0015,W003,,individual,completed,4,4
J0016,W003,,individual,completed,4,4
J0016,W003,,individual,completed,3,3
J0017,W003,,individual,completed,3,3
J0018,W003,,individual,completed,4,4
J0016,W003,,individual,completed,3,3
J0019,W003,,individual,completed,4,4
J0012,W003,,individual,no_show,2,0
J0018,W003,,individual,no_show,4,0
J0020,W004,,individual,completed,5,1
J0021,W004,,individual,completed,3,1
J0021,W004,,individual,completed,3,3
J0020,W004,,individual,completed,3,3
J0021,W004,,individual,completed,2,2
J0021,W004,,individual,completed,4,4
J0021,W004,,individual,completed,3,3
J0021,W004,,individual,completed,4,4
J0022,W004,,individual,completed,2,2
J0022,W004,,individual,completed,4,4
J0022,W004,,individual,completed,2,2
J0022,W004,,individual,completed,5,5
J0022,W004,,individual,completed,4,4
J0023,W004,,individual,completed,2,2
J0024,W004,,individual,completed,4,4
J0009,W005,,individual,completed,2,1
J0017,W005,,individual,completed,5,4
J0014,W005,,individual,completed,2,2
J0018,W005,,individual,completed,5,5
J0019,W005,,individual,completed,2,2
J0016,W005,,individual,completed,3,3
J0012,W005,,individual,completed,2,2
J0025,W005,,individual,completed,2,2
J0025,W005,,individual,completed,4,4
J0025,W005,,individual,completed,4,4
J0025,W005,,individual,completed,3,3
J0026,W005,,individual,completed,3,3
J0026,W005,,individual,completed,2,2
J0026,W005,,individual,completed,3,3
J0025,W005,,individual,completed,3,3
J0025,W005,,individual,completed,3,3
J0019,W005,,individual,completed,4,4
J0012,W005,,individual,completed,5,5
J0027,W005,,individual,completed,4,4
J0028,W005,,individual,completed,3,3
J0028,W005,,individual,completed,2,2
J0028,W005,,individual,completed,2,2
J0028,W005,,individual,completed,5,5
J0028,W005,,individual,completed,5,5
J0029,W005,,individual,completed,3,3
J0028,W005,,individual,completed,4,4
J0030,W005,,individual,completed,2,2
J0028,W005,,individual,completed,4,4
J0029,W005,,individual,completed,4,4
J0029,W005,,individual,completed,3,3
J0029,W005,,individual,completed,2,2
J0031,W005,,individual,completed,4,4
J0032,W005,,individual,completed,5,5
J0033,W005,,individual,completed,4,4
J0034,W005,,individual,completed,4,4
J0033,W005,,individual,completed,4,4
J0029,W005,,individual,completed,4,4
J0029,W005,,individual,completed,4,4
J0031,W005,,individual,completed,5,5
J0033,W005,,individual,completed,2,2
J0030,W005,,individual,completed,3,3
J0031,W005,,individual,completed,3,3
J0030,W005,,individual,completed,5,5
J0033,W005,,individual,completed,2,2
J0012,W005,,individual,completed,4,4
J0030,W005,,individual,completed,2,2
J0034,W005,,individual,completed,2,2
J0033,W005,,individual,no_show,3,0
J0016,W006,,individual,completed,4,3
J0035,W006,,individual,completed,2,2
J0018,W006,,individual,completed,4,4
J0031,W006,,individual,completed,4,4
J0034,W006,,individual,completed,3,3
J0012,W006,,individual,completed,4,4
J0035,W006,,individual,completed,2,2
J0027,W006,,individual,completed,4,4
J0035,W006,,individual,completed,5,5
J0018,W006,,individual,completed,4,4
J0032,W006,,individual,completed,2,2
J0019,W006,,individual,completed,4,4
J0036,W006,,individual,completed,2,2
J0037,W006,,individual,completed,2,2
J0018,W006,,individual,completed,4,4
J0038,W006,,individual,completed,5,5
J0034,W006,,individual,completed,5,5
J0018,W006,,individual,completed,2,2
J0036,W006,,individual,completed,5,5
J0039,W006,,individual,completed,3,3
J0016,W006,,individual,completed,2,2
J0027,W006,,individual,completed,4,4
J0035,W006,,individual,completed,2,2
J0036,W006,,individual,completed,4,4
J0036,W006,,individual,completed,2,2
J0037,W006,,individual,completed,3,3
J0039,W006,,individual,completed,4,4
J0016,W006,,individual,completed,4,4
J0019,W006,,individual,completed,5,5
