id,contractor_id,title,description,skill_required,workers_required,location_name,location_lat,location_lng,site_address,date,start_time,wage,status
J0001,CON004,Block work for partition walls,Block work for partition walls at Tenali.,Mason,4,Tenali,16.23225,80.647758,"Site 14, Tenali",2026-03-15,08:00,800,completed
J0002,CON001,Compound wall masonry,Compound wall masonry at Guntur.,Mason,6,Guntur,16.32441,80.428445,"Site 55, Guntur",2025-04-02,08:30,850,completed
J0003,CON005,Brickwork for first floor slab,Brickwork for first floor slab at Ponnur.,Mason,7,Ponnur,16.070376,80.57322,"Site 42, Ponnur",2026-07-07,08:30,700,completed
J0004,CON003,Compound wall masonry,Compound wall masonry at Chilakaluripet.,Mason,7,Chilakaluripet,16.069975,80.168777,"Site 15, Chilakaluripet",2026-05-12,09:00,650,completed
J0005,CON002,Block work for partition walls,Block work for partition walls at Amaravati.,Mason,4,Amaravati,16.559595,80.343549,"Site 8, Amaravati",2026-07-14,09:00,700,completed
J0006,CON004,Compound wall masonry,Compound wall masonry at Narasaraopet.,Mason,4,Narasaraopet,16.219324,80.031027,"Site 37, Narasaraopet",2026-02-17,09:00,800,completed
J0007,CON001,Compound wall masonry,Compound wall masonry at Vijayawada.,Mason,4,Vijayawada,16.506438,80.641649,"Site 53, Vijayawada",2025-07-20,08:30,650,completed
J0008,CON001,Compound wall masonry,Compound wall masonry at Chilakaluripet.,Mason,3,Chilakaluripet,16.091994,80.173928,"Site 2, Chilakaluripet",2025-11-27,08:30,1000,completed
J0009,CON001,Brickwork for first floor slab,Brickwork for first floor slab at Chilakaluripet.,Mason,3,Chilakaluripet,16.100917,80.150922,"Site 26, Chilakaluripet",2025-03-19,09:00,700,completed
J0010,CON001,Brickwork for first floor slab,Brickwork for first floor slab at Narasaraopet.,Mason,5,Narasaraopet,16.225056,80.034826,"Site 21, Narasaraopet",2025-10-30,08:00,900,completed
J0011,CON001,Compound wall masonry,Compound wall masonry at Mangalagiri.,Mason,2,Mangalagiri,16.42255,80.562435,"Site 1, Mangalagiri",2026-04-23,09:00,850,completed
J0012,CON001,Compound wall masonry,Compound wall masonry at Amaravati.,Mason,7,Amaravati,16.564874,80.357649,"Site 12, Amaravati",2026-07-22,08:00,750,completed
J0013,CON004,Brickwork for first floor slab,Brickwork for first floor slab at Ponnur.,Mason,2,Ponnur,16.051291,80.555692,"Site 59, Ponnur",2026-01-13,08:30,1000,completed
J0014,CON005,Compound wall masonry,Compound wall masonry at Chilakaluripet.,Mason,3,Chilakaluripet,16.072418,80.148794,"Site 48, Chilakaluripet",2025-03-16,08:30,850,completed
J0015,CON006,Compound wall masonry,Compound wall masonry at Tenali.,Mason,6,Tenali,16.24182,80.64606,"Site 12, Tenali",2026-06-23,09:00,800,completed
J0016,CON006,Compound wall masonry,Compound wall masonry at Mangalagiri.,Mason,1,Mangalagiri,16.431438,80.572905,"Site 41, Mangalagiri",2026-06-09,08:30,1000,completed
J0017,CON002,Brickwork for first floor slab,Brickwork for first floor slab at Vijayawada.,Mason,7,Vijayawada,16.495188,80.661656,"Site 30, Vijayawada",2025-06-12,08:00,900,completed
J0018,CON004,Block work for partition walls,Block work for partition walls at Guntur.,Mason,7,Guntur,16.298014,80.428442,"Site 38, Guntur",2025-11-03,09:00,800,completed
J0019,CON004,Brickwork for first floor slab,Brickwork for first floor slab at Chilakaluripet.,Mason,3,Chilakaluripet,16.104095,80.148636,"Site 16, Chilakaluripet",2025-09-13,09:00,900,completed
