job_id,rater_id,worker_id,crew_id,rating,comment
J0001,CON004,W001,,4.43,"Strong team, well coordinated."
J0001,CON004,W001,,4.87,"Good work, finished on time."
J0001,CON004,W001,,4.8,Work completed as agreed.
J0002,CON001,W001,,4.97,Very neat finishing.
J0002,CON001,W001,,4.43,Work completed as agreed.
J0002,CON001,W001,,4.42,"Strong team, well coordinated."
J0002,CON001,W001,,4.7,Quality was acceptable.
J0003,CON005,W001,,4.95,Careful with materials.
J0002,CON001,W001,,4.43,Work completed as agreed.
J0002,CON001,W001,,4.97,"Strong team, well coordinated."
J0001,CON004,W001,,4.51,Would hire again.
J0004,CON003,W001,,4.89,"Good work, finished on time."
J0005,CON002,W001,,4.53,Would hire again.
J0006,CON004,W001,,4.51,Very neat finishing.
J0006,CON004,W001,,4.45,Reliable and punctual.
J0006,CON004,W001,,4.62,Reliable and punctual.
J0007,CON001,W001,,4.94,"Strong team, well coordinated."
J0007,CON001,W001,,4.46,Quality was acceptable.
J0007,CON001,W001,,4.78,Careful with materials.
J0007,CON001,W001,,4.87,"Strong team, well coordinated."
J0008,CON001,W001,,4.97,Quality was acceptable.
J0008,CON001,W001,,4.88,Would hire again.
J0008,CON001,W001,,4.89,"Good work, finished on time."
J0006,CON004,W001,,4.92,Reliable and punctual.
J0004,CON003,W001,,4.53,Careful with materials.
J0009,CON001,W001,,4.78,"Strong team, well coordinated."
J0009,CON001,W001,,4.98,Work completed as agreed.
J0010,CON001,W001,,4.48,Quality was acceptable.
J0010,CON001,W001,,4.52,Would hire again.
J0011,CON001,W001,,4.62,Would hire again.
J0009,CON001,W001,,4.6,Would hire again.
J0005,CON002,W002,,4.7,Would hire again.
J0005,CON002,W002,,4.68,Would hire again.
J0012,CON001,W002,,4.28,Very neat finishing.
J0013,CON004,W002,,4.79,Reliable and punctual.
J0013,CON004,W002,,4.33,Would hire again.
J0005,CON002,W002,,4.67,Would hire again.
J0014,CON005,W002,,4.27,"Good work, finished on time."
J0014,CON005,W002,,4.34,"Good work, finished on time."
J0015,CON006,W002,,4.87,Careful with materials.
J0011,CON001,W002,,4.51,"Strong team, well coordinated."
J0015,CON006,W002,,4.85,Quality was acceptable.
J0015,CON006,W002,,4.52,Would hire again.
J0015,CON006,W002,,4.2,"Good work, finished on time."
J0015,CON006,W002,,4.35,Would hire again.
J0015,CON006,W002,,4.93,"Good work, finished on time."
J0016,CON006,W002,,4.41,Very neat finishing.
J0004,CON003,W002,,4.92,Would hire again.
J0012,CON001,W002,,4.44,Reliable and punctual.
J0014,CON005,W002,,4.5,Very neat finishing.
J0017,CON002,W002,,4.86,Quality was acceptable.
J0017,CON002,W002,,5.0,Would hire again.
J0017,CON002,W002,,4.76,Careful with materials.
J0017,CON002,W002,,4.69,Work completed as agreed.
J0017,CON002,W002,,4.53,Reliable and punctual.
J0004,CON003,W003,,4.23,"Good work, finished on time."
J0018,CON004,W003,,4.37,Quality was acceptable.
J0004,CON003,W003,,4.23,"Strong team, well coordinated."
J0004,CON003,W003,,4.77,Reliable and punctual.
J0019,CON004,W003,,4.69,Very neat finishing.
J0003,CON005,W003,,4.39,Reliable and punctual.
J0017,CON002,W003,,4.63,Would hire again.
J0019,CON004,W003,,4.17,"Good work, finished on time."
J0004,CON003,W003,,4.77,Work completed as agreed.
J0017,CON002,W003,,4.73,Quality was acceptable.
J0003,CON005,W003,,4.77,Work completed as agreed.
J0003,CON005,W003,,4.83,Careful with materials.
J0018,CON004,W003,,4.27,Would hire again.
J0003,CON005,W003,,4.31,Careful with materials.
J0020,CON002,W003,,4.61,Very neat finishing.
J0021,CON002,W003,,4.32,"Good work, finished on time."
J0021,CON002,W003,,4.23,"Good work, finished on time."
J0022,CON003,W003,,4.68,Quality was acceptable.
J0023,CON002,W004,,4.27,Reliable and punctual.
J0023,CON002,W004,,4.46,Work completed as agreed.
J0024,CON006,W004,,4.4,Reliable and punctual.
J0024,CON006,W004,,4.81,Would hire again.
J0023,CON002,W004,,4.22,Quality was acceptable.
J0024,CON006,W004,,4.6,Would hire again.
J0024,CON006,W004,,4.3,Quality was acceptable.
J0024,CON006,W004,,4.58,Work completed as agreed.
J0024,CON006,W004,,4.34,Work completed as agreed.
J0025,CON002,W004,,4.2,Reliable and punctual.
J0025,CON002,W004,,4.62,"Good work, finished on time."
J0025,CON002,W004,,4.53,Reliable and punctual.
J0026,CON004,W004,,4.5,Very neat finishing.
J0026,CON004,W004,,3.99,Very neat finishing.
J0027,CON002,W004,,4.18,Would hire again.
J0010,CON001,W005,,4.87,Reliable and punctual.
J0022,CON003,W005,,4.65,"Strong team, well coordinated."
J0028,CON001,W005,,4.8,Would hire again.
J0012,CON001,W005,,4.72,Quality was acceptable.
J0012,CON001,W005,,4.7,Reliable and punctual.
J0022,CON003,W005,,4.88,Reliable and punctual.
J0029,CON005,W005,,4.73,Would hire again.
J0012,CON001,W005,,4.63,Quality was acceptable.
J0028,CON001,W005,,4.74,Reliable and punctual.
J0010,CON001,W005,,4.65,Reliable and punctual.
J0022,CON003,W005,,4.94,Careful with materials.
J0022,CON003,W005,,4.9,Would hire again.
J0030,CON003,W005,,4.89,Work completed as agreed.
J0030,CON003,W005,,4.96,Work completed as agreed.
J0012,CON001,W005,,4.73,"Strong team, well coordinated."
J0028,CON001,W005,,4.9,Careful with materials.
J0030,CON003,W005,,4.68,"Good work, finished on time."
J0022,CON003,W005,,4.86,"Good work, finished on time."
J0030,CON003,W005,,4.95,Quality was acceptable.
J0003,CON005,W005,,4.68,"Good work, finished on time."
J0030,CON003,W005,,4.61,Quality was acceptable.
J0030,CON003,W005,,4.73,"Strong team, well coordinated."
J0018,CON004,W005,,4.95,Work completed as agreed.
J0018,CON004,W005,,4.85,"Strong team, well coordinated."
J0031,CON001,W005,,4.94,"Strong team, well coordinated."
J0031,CON001,W005,,4.99,Very neat finishing.
J0031,CON001,W005,,4.75,Reliable and punctual.
J0031,CON001,W005,,4.94,"Strong team, well coordinated."
J0031,CON001,W005,,4.71,Reliable and punctual.
J0031,CON001,W005,,4.91,Very neat finishing.
J0031,CON001,W005,,4.66,Quality was acceptable.
J0019,CON004,W005,,4.66,Would hire again.
J0020,CON002,W005,,4.87,Reliable and punctual.
J0029,CON005,W005,,4.7,Careful with materials.
J0032,CON004,W005,,4.64,"Good work, finished on time."
J0018,CON004,W005,,4.97,Would hire again.
J0018,CON004,W005,,4.69,"Good work, finished on time."
J0029,CON005,W005,,4.87,Reliable and punctual.
J0033,CON001,W005,,4.62,Very neat finishing.
J0033,CON001,W005,,4.7,Quality was acceptable.
J0029,CON005,W005,,4.92,Reliable and punctual.
J0033,CON001,W005,,4.73,"Good work, finished on time."
J0033,CON001,W005,,4.9,Careful with materials.
J0033,CON001,W005,,4.92,"Strong team, well coordinated."
J0033,CON001,W005,,4.66,Work completed as agreed.
J0033,CON001,W005,,4.98,"Good work, finished on time."
J0034,CON003,W005,,4.87,Quality was acceptable.
J0029,CON005,W006,,4.86,Quality was acceptable.
J0029,CON005,W006,,4.22,Very neat finishing.
J0035,CON004,W006,,4.86,Careful with materials.
J0034,CON003,W006,,4.24,Work completed as agreed.
J0034,CON003,W006,,4.73,Quality was acceptable.
J0036,CON005,W006,,4.12,Would hire again.
J0032,CON004,W006,,4.24,Would hire again.
J0035,CON004,W006,,4.98,Quality was acceptable.
J0021,CON002,W006,,4.88,Careful with materials.
J0037,CON005,W006,,4.38,"Strong team, well coordinated."
J0034,CON003,W006,,4.97,Careful with materials.
J0032,CON004,W006,,4.22,Careful with materials.
J0034,CON003,W006,,5.0,Reliable and punctual.
J0034,CON003,W006,,4.47,Quality was acceptable.
J0035,CON004,W006,,4.72,Reliable and punctual.
J0020,CON002,W006,,4.82,"Good work, finished on time."
J0035,CON004,W006,,4.45,Reliable and punctual.
J0035,CON004,W006,,4.24,"Good work, finished on time."
J0035,CON004,W006,,4.86,Quality was acceptable.
J0038,CON003,W006,,4.65,"Good work, finished on time."
J0039,CON005,W006,,4.45,Reliable and punctual.
J0040,CON003,W006,,4.55,Quality was acceptable.
J0040,CON003,W006,,4.88,"Good work, finished on time."
J0039,CON005,W006,,4.1,Very neat finishing.
J0040,CON003,W006,,4.63,Work completed as agreed.
J0041,CON004,W006,,4.65,"Strong team, well coordinated."
J0041,CON004,W006,,4.37,Careful with materials.
J0040,CON003,W006,,4.13,Careful with materials.
J0041,CON004,W006,,4.28,Would hire again.
J0040,CON003,W007,,4.04,"Strong team, well coordinated."
J0040,CON003,W007,,3.97,Quality was acceptable.
J0042,CON003,W007,,4.08,Reliable and punctual.
J0042,CON003,W007,,4.27,Careful with materials.
J0043,CON001,W007,,4.64,Reliable and punctual.
J0043,CON001,W007,,4.18,Careful with materials.
J0041,CON004,W007,,4.52,Reliable and punctual.
J0044,CON003,W007,,4.43,Quality was acceptable.
J0045,CON001,W007,,4.06,Quality was acceptable.
J0044,CON003,W007,,4.73,Reliable and punctual.
J0045,CON001,W007,,4.06,Work completed as agreed.
J0046,CON006,W007,,4.64,Quality was acceptable.
J0041,CON004,W007,,4.69,Reliable and punctual.
J0045,CON001,W007,,4.43,Quality was acceptable.
J0046,CON006,W007,,4.53,Very neat finishing.
J0046,CON006,W007,,4.62,Would hire again.
J0045,CON001,W007,,4.27,Quality was acceptable.
J0046,CON006,W007,,4.57,Reliable and punctual.
J0044,CON003,W007,,4.01,Quality was acceptable.
J0046,CON006,W007,,4.13,"Strong team, well coordinated."
J0047,CON001,W007,,4.17,Work completed as agreed.
J0044,CON003,W007,,4.66,Careful with materials.
J0044,CON003,W008,,4.48,Would hire again.
J0048,CON005,W008,,4.17,Would hire again.
J0044,CON003,W008,,3.96,Work completed as agreed.
J0048,CON005,W008,,4.54,Very neat finishing.
J0048,CON005,W008,,4.25,"Good work, finished on time."
J0048,CON005,W008,,4.33,Would hire again.
J0049,CON004,W008,,4.49,Very neat finishing.
J0047,CON001,W008,,4.43,Reliable and punctual.
J0049,CON004,W008,,4.42,Would hire again.
J0050,CON005,W008,,4.07,Very neat finishing.
J0050,CON005,W008,,4.02,"Good work, finished on time."
J0045,CON001,W008,,4.32,"Strong team, well coordinated."
J0051,CON005,W008,,4.12,Would hire again.
J0051,CON005,W008,,4.08,Would hire again.
J0051,CON005,W008,,4.18,"Strong team, well coordinated."
J0051,CON005,W008,,4.38,Work completed as agreed.
J0051,CON005,W008,,4.01,Careful with materials.
J0051,CON005,W009,,4.65,Would hire again.
J0053,CON005,W009,,4.22,Work completed as agreed.
J0047,CON001,W009,,4.12,Quality was acceptable.
J0052,CON005,W009,,4.32,Reliable and punctual.
J0053,CON005,W009,,4.69,Would hire again.
J0052,CON005,W009,,4.07,Would hire again.
J0054,CON001,W009,,4.7,"Strong team, well coordinated."
J0054,CON001,W009,,4.2,Quality was acceptable.
J0054,CON001,W009,,4.58,Quality was acceptable.
J0053,CON005,W009,,4.32,Careful with materials.
J0052,CON005,W009,,4.67,"Strong team, well coordinated."
J0045,CON001,W009,,4.78,Reliable and punctual.
J0051,CON005,W009,,4.17,"Good work, finished on time."
J0045,CON001,W009,,4.83,"Good work, finished on time."
J0053,CON005,W009,,4.3,Quality was acceptable.
J0055,CON001,W009,,4.68,Careful with materials.
J0054,CON001,W009,,4.23,Careful with materials.
J0052,CON005,W009,,4.58,"Strong team, well coordinated."
J0053,CON005,W009,,4.23,Would hire again.
J0052,CON005,W009,,4.73,Would hire again.
J0052,CON005,W009,,4.67,Quality was acceptable.
J0055,CON001,W009,,4.6,Work completed as agreed.
J0053,CON005,W009,,4.74,Work completed as agreed.
J0055,CON001,W009,,4.25,Quality was acceptable.
J0055,CON001,W009,,4.21,"Good work, finished on time."
J0055,CON001,W009,,4.16,Careful with materials.
J0049,CON004,W010,,4.73,Reliable and punctual.
J0056,CON001,W010,,3.99,Very neat finishing.
J0041,CON004,W010,,3.98,Quality was acceptable.
J0049,CON004,W010,,4.3,Reliable and punctual.
J0049,CON004,W010,,4.1,Reliable and punctual.
J0041,CON004,W010,,4.62,Careful with materials.
J0056,CON001,W010,,4.44,Careful with materials.
J0057,CON004,W010,,4.72,Work completed as agreed.
J0056,CON001,W010,,3.97,"Good work, finished on time."
J0058,CON001,W010,,4.66,Work completed as agreed.
J0058,CON001,W010,,3.94,Careful with materials.
J0059,CON004,W010,,3.89,Quality was acceptable.
J0058,CON001,W010,,4.71,"Good work, finished on time."
J0059,CON004,W010,,4.63,Work completed as agreed.
J0059,CON004,W010,,4.61,Quality was acceptable.
J0059,CON004,W010,,3.87,"Good work, finished on time."
J0058,CON001,W010,,4.16,Very neat finishing.
J0059,CON004,W010,,4.5,"Good work, finished on time."
J0058,CON001,W010,,3.88,Very neat finishing.
J0060,CON003,W011,,3.94,Work completed as agreed.
J0060,CON003,W011,,3.84,Very neat finishing.
J0061,CON004,W011,,3.98,Would hire again.
J0061,CON004,W011,,4.06,Careful with materials.
J0062,CON004,W011,,3.82,Very neat finishing.
J0062,CON004,W011,,4.46,Would hire again.
J0060,CON003,W011,,4.42,Reliable and punctual.
J0063,CON006,W011,,3.8,"Strong team, well coordinated."
J0062,CON004,W011,,4.6,Careful with materials.
J0062,CON004,W011,,4.58,"Strong team, well coordinated."
J0062,CON004,W011,,3.76,"Good work, finished on time."
J0062,CON004,W011,,4.64,Quality was acceptable.
J0062,CON004,W011,,4.56,Would hire again.
J0063,CON006,W011,,4.34,Very neat finishing.
J0060,CON003,W012,,4.81,"Good work, finished on time."
J0064,CON005,W012,,4.32,Would hire again.
J0064,CON005,W012,,4.01,Quality was acceptable.
J0063,CON006,W012,,3.97,Quality was acceptable.
J0064,CON005,W012,,4.13,"Strong team, well coordinated."
J0064,CON005,W012,,3.99,Reliable and punctual.
J0064,CON005,W012,,4.79,Careful with materials.
J0065,CON002,W012,,3.95,Careful with materials.
J0063,CON006,W012,,4.67,Quality was acceptable.
J0064,CON005,W012,,4.14,"Strong team, well coordinated."
J0066,CON001,W012,,4.28,Would hire again.
J0067,CON003,W012,,4.51,Reliable and punctual.
J0067,CON003,W012,,4.48,Work completed as agreed.
J0067,CON003,W012,,4.66,Work completed as agreed.
J0067,CON003,W012,,4.85,Reliable and punctual.
J0068,CON001,W012,,4.21,"Strong team, well coordinated."
J0068,CON001,W012,,4.52,Careful with materials.
J0068,CON001,W012,,4.29,Work completed as agreed.
J0068,CON001,W012,,4.83,Reliable and punctual.
J0069,CON003,W012,,4.4,"Strong team, well coordinated."
J0069,CON003,W012,,4.59,Would hire again.
J0065,CON002,W013,,4.03,Careful with materials.
J0065,CON002,W013,,4.33,Work completed as agreed.
J0065,CON002,W013,,4.34,Careful with materials.
J0070,CON001,W013,,3.98,Work completed as agreed.
J0070,CON001,W013,,4.5,Work completed as agreed.
J0071,CON002,W013,,4.0,Would hire again.
J0072,CON002,W013,,4.16,Quality was acceptable.
J0072,CON002,W013,,4.17,"Good work, finished on time."
