worker_id,skill_id,verification_status,years_experience
W001,1,verified,9
W002,1,verified,11
W003,1,verified,7
W004,2,verified,4
W005,1,verified,15
W006,1,verified,12
W007,1,verified,6
W008,1,verified,5
W009,1,verified,11
W010,1,verified,12
W011,1,verified,7
W012,1,verified,8
W013,1,verified,5
W014,1,verified,3
W015,12,verified,7
W015,3,pending,5
W016,2,verified,0
W016,8,verified,4
W017,1,verified,20
W018,9,verified,9
W018,8,verified,5
W019,3,verified,13
W019,12,pending,4
W020,9,verified,18
W020,1,pending,1
W021,9,verified,18
W021,2,pending,3
W022,7,verified,1
W022,9,verified,4
W023,3,verified,17
W024,4,verified,12
W024,10,pending,2
W025,4,verified,1
W025,10,verified,2
W026,2,verified,7
W027,9,verified,20
W027,11,verified,1
W028,9,verified,11
W029,11,verified,3
W029,5,verified,6
W030,6,verified,1
W031,11,verified,2
W031,3,verified,3
W032,6,verified,13
